condition,mode,seed,step,IFN_gamma,PD_L1,TGF_beta
baseline,none,789,29,0.132752,0.037903,0.382382
baseline,none,789,30,0.221052,0.05187,0.438313
baseline,none,1024,1,0.0,0.002509,0.00546
baseline,none,1024,2,0.0,0.004595,0.010483
baseline,none,1024,3,0.0,0.0064,0.015104
baseline,none,1024,4,0.0,0.007951,0.019356
baseline,none,1024,5,0.0,0.009302,0.023267
baseline,none,1024,6,0.0,0.010516,0.027765
baseline,none,1024,7,0.0,0.011671,0.032954
baseline,none,1024,8,0.0,0.012684,0.040277
baseline,none,1024,9,0.0,0.013594,0.053915
baseline,none,1024,10,0.0,0.014507,0.070812
baseline,none,1024,11,0.0,0.015401,0.089807
baseline,none,1024,12,0.0,0.01619,0.109382
baseline,none,1024,13,0.0,0.016961,0.127991
baseline,none,1024,14,0.0,0.017666,0.145862
baseline,none,1024,15,0.0,0.018237,0.163053
baseline,none,1024,16,0.0,0.018756,0.178943
baseline,none,1024,17,0.0,0.01928,0.194013
baseline,none,1024,18,0.0,0.019787,0.208776
baseline,none,1024,19,0.0,0.020231,0.222509
baseline,none,1024,20,0.0,0.020608,0.235293
baseline,none,1024,21,0.0,0.020777,0.24653
baseline,none,1024,22,0.0,0.020844,0.256342
baseline,none,1024,23,0.0,0.020723,0.264319
baseline,none,1024,24,0.0,0.02041,0.270234
baseline,none,1024,25,0.0,0.020027,0.275
baseline,none,1024,26,0.0,0.019573,0.278635
baseline,none,1024,27,0.0,0.018959,0.280629
baseline,none,1024,28,0.0,0.018116,0.280138
baseline,none,1024,29,0.0,0.017161,0.277362
baseline,none,1024,30,0.0,0.01623,0.273908
baseline,none,123,1,0.0,0.002509,0.005554
baseline,none,123,2,0.0,0.004649,0.010664
baseline,none,123,3,0.0,0.006449,0.015365
baseline,none,123,4,0.0,0.008058,0.01969
baseline,none,123,5,0.0,0.009422,0.023668
baseline,none,123,6,0.0,0.010699,0.027779
baseline,none,123,7,0.0,0.011835,0.034336
baseline,none,123,8,0.0,0.012909,0.043893
baseline,none,123,9,0.0,0.013877,0.05786
baseline,none,123,10,0.0,0.014825,0.074911
baseline,none,123,11,0.0,0.015743,0.093222
baseline,none,123,12,0.0,0.016559,0.112468
baseline,none,123,13,0.0,0.017284,0.130925
baseline,none,123,14,0.0,0.017889,0.14858
baseline,none,123,15,0.0,0.018456,0.164747
baseline,none,123,16,0.0,0.018936,0.180147
baseline,none,123,17,0.0,0.019349,0.194689
baseline,none,123,18,0.0,0.019597,0.208368
baseline,none,123,19,0.0,0.019805,0.220877
baseline,none,123,20,0.0,0.01997,0.232086
baseline,none,123,21,0.0,0.020133,0.242323
baseline,none,123,22,0.0,0.020223,0.251592
baseline,none,123,23,0.0,0.02006,0.258918
baseline,none,123,24,0.0,0.019717,0.264684
baseline,none,123,25,0.0,0.01925,0.268488
baseline,none,123,26,0.0,0.018602,0.270188
baseline,none,123,27,0.0,0.017855,0.269652
baseline,none,123,28,0.0,0.017067,0.268784
baseline,none,123,29,0.0,0.016338,0.266785
baseline,none,123,30,0.0,0.015529,0.264197
baseline,none,42,1,0.0,0.002473,0.005668
baseline,none,42,2,0.0,0.004598,0.010882
baseline,none,42,3,0.0,0.006465,0.015679
baseline,none,42,4,0.0,0.008068,0.020093
baseline,none,42,5,0.0,0.009549,0.024153
baseline,none,42,6,0.0,0.01085,0.027889
baseline,none,42,7,0.0,0.011986,0.032675
baseline,none,42,8,0.0,0.013018,0.042254
baseline,none,42,9,0.0,0.013996,0.056391
baseline,none,42,10,0.0,0.014906,0.073448
baseline,none,42,11,0.0,0.01573,0.091915
baseline,none,42,12,0.0,0.016497,0.110629
