mode,step,oxygen,glucose,IFN_gamma,IL2,PD_L1,TGF_beta
rules,1,0.082785,4.083627,0.000000,0.000000,0.002473,0.005668
rules,2,0.080146,3.974013,0.000000,0.000000,0.004598,0.010882
rules,3,0.077484,3.862017,0.000000,0.000000,0.006465,0.015679
rules,4,0.074809,3.748425,0.000000,0.000000,0.008068,0.020093
rules,5,0.072095,3.631787,0.000000,0.000000,0.009549,0.024153
rules,6,0.069369,3.513620,0.000000,0.000000,0.010850,0.027889
rules,7,0.066642,3.394429,0.000000,0.000000,0.011986,0.032675
rules,8,0.063889,3.273124,0.000000,0.000000,0.013018,0.042254
rules,9,0.061107,3.149350,0.000000,0.000000,0.013996,0.056391
rules,10,0.058304,3.023605,0.000000,0.000000,0.014906,0.073448
rules,11,0.055496,2.896666,0.000000,0.000000,0.015730,0.091915
rules,12,0.052678,2.768296,0.000000,0.000000,0.016497,0.110629
rules,13,0.049841,2.639220,0.000000,0.000000,0.017259,0.129422
rules,14,0.047017,2.511707,0.000000,0.000000,0.017930,0.147461
rules,15,0.044223,2.385269,0.000000,0.000000,0.018621,0.165032
rules,16,0.041557,2.263866,0.000000,0.000000,0.019161,0.182022
rules,17,0.038997,2.148469,0.000000,0.000000,0.019648,0.198028
rules,18,0.036557,2.041469,0.000000,0.000000,0.020092,0.212828
rules,19,0.034284,1.940669,0.000000,0.000000,0.020413,0.226370
rules,20,0.032180,1.847910,0.000000,0.000000,0.020613,0.238453
rules,21,0.030208,1.761230,0.000000,0.000000,0.020647,0.248520
rules,22,0.028404,1.682753,0.000000,0.000000,0.020613,0.256731
rules,23,0.026651,1.605038,0.000000,0.000000,0.020529,0.264360
rules,24,0.025002,1.531008,0.000000,0.000000,0.020455,0.270854
rules,25,0.023426,1.460668,0.000000,0.000000,0.020172,0.276228
rules,26,0.021912,1.392124,0.000000,0.000000,0.019729,0.279823
rules,27,0.020480,1.326840,0.000000,0.000000,0.019085,0.281255
rules,28,0.019176,1.267457,0.000000,0.000000,0.018186,0.280697
rules,29,0.017843,1.206235,0.000000,0.000000,0.017392,0.279059
rules,30,0.016625,1.150292,0.000000,0.000000,0.016353,0.276127
random,1,0.082785,4.083627,0.000000,0.000000,0.002473,0.005668
random,2,0.080221,3.977763,0.003375,0.000000,0.004660,0.011012
random,3,0.077667,3.871360,0.006788,0.000000,0.006779,0.016019
random,4,0.075143,3.765506,0.009734,0.000000,0.008740,0.020695
random,5,0.072624,3.658818,0.012385,0.000000,0.010668,0.025057
random,6,0.070166,3.554291,0.015022,0.000000,0.012361,0.029640
random,7,0.067777,3.452355,0.015895,0.000000,0.013887,0.036067
random,8,0.065432,3.351790,0.017805,0.000000,0.015354,0.045790
random,9,0.063172,3.254721,0.017775,0.000000,0.016666,0.058091
random,10,0.060965,3.159437,0.018372,0.000000,0.017911,0.071423
random,11,0.058813,3.066161,0.017910,0.000000,0.019172,0.085030
random,12,0.056705,2.974037,0.017494,0.000000,0.020464,0.098302
random,13,0.054607,2.881526,0.016745,0.000000,0.021955,0.111172
random,14,0.052552,2.791764,0.015820,0.000000,0.023502,0.123601
random,15,0.050530,2.704245,0.014863,0.000000,0.025139,0.135449
random,16,0.048607,2.621343,0.013877,0.000000,0.026707,0.146528
random,17,0.046764,2.543609,0.012739,0.000000,0.028329,0.156821
random,18,0.045049,2.471914,0.011840,0.000000,0.030073,0.166406
random,19,0.043483,2.405375,0.010781,0.000000,0.031679,0.175628
random,20,0.041947,2.341584,0.009703,0.000000,0.033367,0.184429
random,21,0.040480,2.280822,0.008733,0.000000,0.035016,0.192920
random,22,0.039116,2.224852,0.007984,0.000000,0.036492,0.200583
random,23,0.037821,2.171880,0.007311,0.000000,0.037759,0.207111
random,24,0.036536,2.119933,0.006955,0.000000,0.039136,0.213242
random,25,0.035282,2.068520,0.006259,0.000000,0.040544,0.219158
random,26,0.034076,2.019756,0.005633,0.000000,0.042250,0.224575
random,27,0.032914,1.972424,0.005195,0.000000,0.044011,0.230234
random,28,0.031797,1.926349,0.004676,0.000000,0.045728,0.236116
random,29,0.030715,1.881041,0.004208,0.000000,0.047326,0.241676
random,30,0.029666,1.836160,0.003787,0.000000,0.049153,0.246542
