group,pair,mode,seed,step,tumor_count,alive,cd8_pct
Baseline,all,deepseek,456,10,280,580,0.2069
Baseline,all,deepseek,456,11,286,586,0.2048
Baseline,all,deepseek,456,12,297,597,0.201
Baseline,all,deepseek,456,13,310,609,0.197
Baseline,all,deepseek,456,14,317,614,0.1954
Baseline,all,deepseek,456,15,304,601,0.1997
Baseline,all,deepseek,456,16,306,603,0.199
Baseline,all,deepseek,456,17,308,605,0.1983
Baseline,all,deepseek,456,18,314,610,0.1967
Baseline,all,deepseek,456,19,313,609,0.197
Baseline,all,deepseek,456,20,304,600,0.2
Baseline,all,deepseek,456,21,307,603,0.199
Baseline,all,deepseek,456,22,305,601,0.1997
Baseline,all,deepseek,456,23,294,590,0.2034
Baseline,all,deepseek,456,24,298,597,0.206
Baseline,all,deepseek,456,25,280,579,0.2124
Baseline,all,deepseek,456,26,291,590,0.2085
Baseline,all,deepseek,456,27,279,578,0.2128
Baseline,all,deepseek,456,28,250,549,0.224
Baseline,all,deepseek,456,29,253,552,0.2228
Baseline,all,deepseek,456,30,220,519,0.237
Baseline,all,deepseek,789,1,209,509,0.2358
Baseline,all,deepseek,789,2,219,519,0.2312
Baseline,all,deepseek,789,3,227,527,0.2277
Baseline,all,deepseek,789,4,234,534,0.2247
Baseline,all,deepseek,789,5,230,530,0.2264
Baseline,all,deepseek,789,6,240,540,0.2222
Baseline,all,deepseek,789,7,253,553,0.217
Baseline,all,deepseek,789,8,267,567,0.2116
Baseline,all,deepseek,789,9,275,575,0.2087
Baseline,all,deepseek,789,10,278,578,0.2076
Baseline,all,deepseek,789,11,288,588,0.2041
Baseline,all,deepseek,789,12,294,594,0.202
Baseline,all,deepseek,789,13,302,601,0.1997
Baseline,all,deepseek,789,14,306,605,0.1983
Baseline,all,deepseek,789,15,297,594,0.202
Baseline,all,deepseek,789,16,298,595,0.2017
Baseline,all,deepseek,789,17,313,610,0.1967
Baseline,all,deepseek,789,18,319,616,0.1948
Baseline,all,deepseek,789,19,318,615,0.1951
Baseline,all,deepseek,789,20,306,603,0.199
Baseline,all,deepseek,789,21,310,607,0.1977
Baseline,all,deepseek,789,22,295,592,0.2027
Baseline,all,deepseek,789,23,281,577,0.208
Baseline,all,deepseek,789,24,272,567,0.2116
Baseline,all,deepseek,789,25,253,548,0.219
Baseline,all,deepseek,789,26,248,543,0.221
Baseline,all,deepseek,789,27,240,535,0.2243
Baseline,all,deepseek,789,28,218,513,0.2339
Baseline,all,deepseek,789,29,206,502,0.241
Baseline,all,deepseek,789,30,189,485,0.2495
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,123,1,198,498,0.241
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,123,2,194,494,0.2429
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,123,3,196,496,0.2419
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,123,4,199,499,0.2405
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,123,5,201,501,0.2395
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,123,6,193,493,0.2434
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,123,7,195,495,0.2424
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,123,8,196,495,0.2424
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,123,9,196,495,0.2424
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,123,10,198,496,0.2419
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,123,11,195,493,0.2434
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,123,12,190,488,0.2459
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,123,13,192,490,0.2449
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,123,14,196,494,0.2429
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,123,15,198,495,0.2424
