condition,mode,seed,step,tumor_count,cd8_count,total
baseline,deepseek,456,19,313,120,609
baseline,deepseek,456,20,304,120,600
baseline,deepseek,456,21,307,120,603
baseline,deepseek,456,22,305,120,601
baseline,deepseek,456,23,294,120,590
baseline,deepseek,456,24,298,123,597
baseline,deepseek,456,25,280,123,579
baseline,deepseek,456,26,291,123,590
baseline,deepseek,456,27,279,123,578
baseline,deepseek,456,28,250,123,549
baseline,deepseek,456,29,253,123,552
baseline,deepseek,456,30,220,123,519
IFNG_KO,deepseek,42,1,212,120,512
IFNG_KO,deepseek,42,2,224,120,524
IFNG_KO,deepseek,42,3,233,120,533
IFNG_KO,deepseek,42,4,248,120,548
IFNG_KO,deepseek,42,5,251,120,551
IFNG_KO,deepseek,42,6,258,120,558
IFNG_KO,deepseek,42,7,269,120,569
IFNG_KO,deepseek,42,8,282,120,582
IFNG_KO,deepseek,42,9,292,120,592
IFNG_KO,deepseek,42,10,281,120,581
IFNG_KO,deepseek,42,11,290,120,590
IFNG_KO,deepseek,42,12,300,120,600
IFNG_KO,deepseek,42,13,308,120,607
IFNG_KO,deepseek,42,14,319,120,618
IFNG_KO,deepseek,42,15,305,120,603
IFNG_KO,deepseek,42,16,312,120,610
IFNG_KO,deepseek,42,17,318,120,616
IFNG_KO,deepseek,42,18,324,120,622
IFNG_KO,deepseek,42,19,319,120,617
IFNG_KO,deepseek,42,20,307,120,605
IFNG_KO,deepseek,42,21,325,120,623
IFNG_KO,deepseek,42,22,325,120,623
IFNG_KO,deepseek,42,23,311,120,609
IFNG_KO,deepseek,42,24,318,125,621
IFNG_KO,deepseek,42,25,304,125,607
IFNG_KO,deepseek,42,26,299,125,602
IFNG_KO,deepseek,42,27,287,125,590
IFNG_KO,deepseek,42,28,263,125,565
IFNG_KO,deepseek,42,29,254,125,556
IFNG_KO,deepseek,42,30,228,125,530
IFNG_KO,deepseek,123,1,211,120,511
IFNG_KO,deepseek,123,2,218,120,518
IFNG_KO,deepseek,123,3,231,120,531
IFNG_KO,deepseek,123,4,238,120,538
IFNG_KO,deepseek,123,5,245,120,545
IFNG_KO,deepseek,123,6,255,120,555
IFNG_KO,deepseek,123,7,267,120,567
IFNG_KO,deepseek,123,8,276,120,576
IFNG_KO,deepseek,123,9,290,120,590
IFNG_KO,deepseek,123,10,281,120,580
IFNG_KO,deepseek,123,11,285,120,584
IFNG_KO,deepseek,123,12,290,120,589
IFNG_KO,deepseek,123,13,297,120,596
IFNG_KO,deepseek,123,14,312,120,611
IFNG_KO,deepseek,123,15,312,120,611
IFNG_KO,deepseek,123,16,318,120,617
IFNG_KO,deepseek,123,17,318,120,617
IFNG_KO,deepseek,123,18,320,120,618
IFNG_KO,deepseek,123,19,319,120,617
IFNG_KO,deepseek,123,20,317,120,615
IFNG_KO,deepseek,123,21,324,120,621
IFNG_KO,deepseek,123,22,324,120,621
IFNG_KO,deepseek,123,23,312,120,609
IFNG_KO,deepseek,123,24,305,120,601
IFNG_KO,deepseek,123,25,297,120,593
IFNG_KO,deepseek,123,26,296,120,592
IFNG_KO,deepseek,123,27,288,120,584
IFNG_KO,deepseek,123,28,262,120,558
IFNG_KO,deepseek,123,29,255,120,551
IFNG_KO,deepseek,123,30,222,120,518
IFNG_KO,deepseek,456,1,210,120,510
IFNG_KO,deepseek,456,2,219,120,519
IFNG_KO,deepseek,456,3,229,120,529
IFNG_KO,deepseek,456,4,242,120,542
IFNG_KO,deepseek,456,5,243,120,543
IFNG_KO,deepseek,456,6,253,120,553
IFNG_KO,deepseek,456,7,269,120,569
IFNG_KO,deepseek,456,8,274,120,574
IFNG_KO,deepseek,456,9,291,120,591
IFNG_KO,deepseek,456,10,285,120,585
IFNG_KO,deepseek,456,11,291,120,591
IFNG_KO,deepseek,456,12,301,120,601
IFNG_KO,deepseek,456,13,316,120,615
IFNG_KO,deepseek,456,14,323,120,619
IFNG_KO,deepseek,456,15,315,120,611
