experiment,condition,mode,seed,step,oxygen,glucose,IFN_gamma,IL2,PD_L1,TGF_beta
baseline,baseline,none,123,25,0.026508,1.619202,0.168899,0.017365,0.076551,0.417226
baseline,baseline,none,123,26,0.025044,1.554193,0.162884,0.016466,0.066187,0.408921
baseline,baseline,none,123,27,0.023601,1.488931,0.146746,0.015614,0.057938,0.400581
baseline,baseline,none,123,28,0.022173,1.424257,0.132146,0.014806,0.051046,0.392383
baseline,baseline,none,123,29,0.020908,1.365445,0.118931,0.014041,0.045012,0.383941
baseline,baseline,none,123,30,0.019594,1.304656,0.208083,0.01719,0.064996,0.438474
baseline,baseline,none,42,1,0.082785,4.083627,0.0,0.0,0.002473,0.005668
baseline,baseline,none,42,2,0.080146,3.974013,0.0,0.0,0.004598,0.010882
baseline,baseline,none,42,3,0.077484,3.862017,0.0,0.0,0.006465,0.015679
baseline,baseline,none,42,4,0.074809,3.748425,0.0,0.0,0.008068,0.020093
baseline,baseline,none,42,5,0.072095,3.631787,0.00875,0.0035,0.064174,0.074278
baseline,baseline,none,42,6,0.069414,3.51587,0.009,0.003317,0.055056,0.074304
baseline,baseline,none,42,7,0.066731,3.398918,0.0081,0.003145,0.047882,0.074927
baseline,baseline,none,42,8,0.064028,3.279964,0.00729,0.002981,0.042274,0.081426
baseline,baseline,none,42,9,0.061294,3.158533,0.006561,0.002826,0.037975,0.092729
baseline,baseline,none,42,10,0.058539,3.035125,0.073655,0.005679,0.096824,0.163504
baseline,baseline,none,42,11,0.055893,2.916267,0.073789,0.005329,0.081975,0.174016
baseline,baseline,none,42,12,0.053234,2.796574,0.06656,0.004999,0.070234,0.185098
baseline,baseline,none,42,13,0.050568,2.676715,0.060054,0.004687,0.061023,0.196951
baseline,baseline,none,42,14,0.047926,2.557928,0.054124,0.004395,0.053743,0.208756
baseline,baseline,none,42,15,0.045299,2.441197,0.130977,0.007665,0.085997,0.289542
baseline,baseline,none,42,16,0.042861,2.332307,0.128504,0.007261,0.073808,0.294441
baseline,baseline,none,42,17,0.040559,2.230593,0.115729,0.006879,0.064158,0.299124
baseline,baseline,none,42,18,0.038439,2.139062,0.104231,0.006518,0.056425,0.303207
baseline,baseline,none,42,19,0.036431,2.053165,0.093808,0.006175,0.05021,0.306814
baseline,baseline,none,42,20,0.034485,1.968393,0.163677,0.008976,0.063309,0.380032
