experiment,condition,mode,seed,step,phase_G0,phase_G1,phase_S,phase_G2,phase_M
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,123,19,0.601,0.1485,0.133,0.0915,0.0259
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,123,20,0.6424,0.1319,0.1163,0.0903,0.0191
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,123,21,0.6383,0.16,0.0783,0.0991,0.0243
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,123,22,0.6672,0.1568,0.0627,0.1098,0.0035
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,123,23,0.6702,0.0965,0.1246,0.0754,0.0333
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,123,24,0.7062,0.0796,0.0991,0.0938,0.0212
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,123,25,0.7459,0.0622,0.1042,0.0548,0.0329
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,123,26,0.7804,0.0443,0.1144,0.048,0.0129
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,123,27,0.8011,0.0492,0.0985,0.0511,0
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,123,28,0.7976,0.0099,0.1409,0.0179,0.0337
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,123,29,0.84,0.012,0.08,0.064,0.004
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,123,30,0.8489,0.0106,0.0681,0.0638,0.0085
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,42,1,0.6328,0.1387,0.127,0.0781,0.0234
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,42,2,0.6279,0.1546,0.1183,0.0821,0.0172
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,42,3,0.6041,0.1689,0.122,0.0769,0.0281
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,42,4,0.6058,0.1861,0.1131,0.0785,0.0164
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,42,5,0.6307,0.1664,0.1115,0.0786,0.0128
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,42,6,0.5866,0.2076,0.1119,0.074,0.0199
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,42,7,0.5823,0.2177,0.1062,0.0708,0.023
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,42,8,0.5744,0.2388,0.1021,0.0657,0.019
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,42,9,0.5654,0.2377,0.107,0.0764,0.0136
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,42,10,0.6014,0.1906,0.1224,0.0699,0.0157
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,42,11,0.5714,0.2083,0.1377,0.0637,0.0189
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,42,12,0.5804,0.2183,0.1235,0.0626,0.0152
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,42,13,0.5726,0.1937,0.1586,0.0518,0.0234
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,42,14,0.5848,0.1845,0.168,0.0527,0.0099
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,42,15,0.6112,0.146,0.1664,0.0645,0.0119
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,42,16,0.5902,0.1551,0.1636,0.0776,0.0135
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,42,17,0.5903,0.1689,0.1338,0.0936,0.0134
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,42,18,0.5923,0.1326,0.1779,0.0839,0.0134
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,42,19,0.5868,0.1383,0.1467,0.1062,0.0219
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,42,20,0.6276,0.1034,0.1431,0.0983,0.0276
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,42,21,0.6362,0.11,0.1303,0.0948,0.0288
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,42,22,0.6678,0.1102,0.1068,0.1119,0.0033
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,42,23,0.6621,0.0836,0.1416,0.07,0.0427
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,42,24,0.7191,0.0677,0.1032,0.088,0.022
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,42,25,0.7513,0.0557,0.0974,0.073,0.0226
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,42,26,0.7717,0.0478,0.0867,0.0743,0.0195
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,42,27,0.7953,0.0521,0.0646,0.0862,0.0018
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,42,28,0.7873,0.0299,0.0933,0.0578,0.0317
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,42,29,0.8255,0.0314,0.0647,0.0706,0.0078
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,42,30,0.8421,0.0274,0.0505,0.0505,0.0295
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,456,1,0.6275,0.1431,0.1275,0.0843,0.0176
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,456,2,0.6166,0.1407,0.1252,0.0983,0.0193
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,456,3,0.6181,0.1474,0.1267,0.0832,0.0246
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,456,4,0.6089,0.1753,0.1015,0.0959,0.0185
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,456,5,0.6359,0.1682,0.098,0.0813,0.0166
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,456,6,0.5938,0.2131,0.102,0.0619,0.0291
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,456,7,0.6011,0.2181,0.1011,0.0709,0.0089
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,456,8,0.5641,0.2408,0.0967,0.0685,0.0299
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,456,9,0.5768,0.2321,0.1109,0.07,0.0102
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,456,10,0.6011,0.2109,0.1142,0.0633,0.0105
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,456,11,0.5652,0.2226,0.1409,0.0557,0.0157
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,456,12,0.5685,0.2346,0.1267,0.0445,0.0257
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,456,13,0.5755,0.2013,0.1577,0.0537,0.0117
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,456,14,0.5492,0.2104,0.1669,0.0651,0.0083
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,456,15,0.5756,0.1598,0.1735,0.0825,0.0086
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,456,16,0.5614,0.1621,0.1792,0.0819,0.0154
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,456,17,0.5756,0.1698,0.1375,0.0951,0.0221
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,456,18,0.5902,0.1366,0.1771,0.0759,0.0202
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,456,19,0.5863,0.1491,0.1524,0.0888,0.0235
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,456,20,0.6256,0.1197,0.1453,0.094,0.0154
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,456,21,0.6241,0.1088,0.1395,0.0986,0.0289
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,456,22,0.665,0.1088,0.1173,0.1071,0.0017
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,456,23,0.6638,0.0931,0.1362,0.0741,0.0328
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,456,24,0.7009,0.0817,0.1043,0.0939,0.0191
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,456,25,0.7325,0.061,0.1005,0.0718,0.0341
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,456,26,0.7687,0.0445,0.0979,0.0712,0.0178
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,456,27,0.7899,0.0503,0.0628,0.0952,0.0018
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,456,28,0.7822,0.0284,0.0909,0.0606,0.0379
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,456,29,0.8305,0.0267,0.0705,0.061,0.0114
treatment_anti_CTLA4_early,anti_CTLA4_early,deepseek,456,30,0.8457,0.0195,0.0645,0.0469,0.0234
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,123,1,0.6301,0.1546,0.1155,0.0861,0.0137
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,123,2,0.6081,0.1776,0.1062,0.083,0.0251
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,123,3,0.6139,0.1714,0.1168,0.0847,0.0132
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,123,4,0.6004,0.1784,0.1115,0.0836,0.026
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,123,5,0.6014,0.1884,0.1069,0.0851,0.0181
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,123,6,0.5925,0.2046,0.1085,0.073,0.0214
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,123,7,0.5871,0.2178,0.1132,0.0662,0.0157
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,123,8,0.5626,0.2367,0.1218,0.0549,0.024
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,123,9,0.5796,0.2127,0.1273,0.0603,0.0201
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,123,10,0.5681,0.2233,0.1297,0.069,0.0099
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,123,11,0.5505,0.2248,0.1384,0.0765,0.0098
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,123,12,0.5541,0.2036,0.1535,0.0759,0.0129
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,123,13,0.5579,0.1849,0.1656,0.0659,0.0257
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,123,14,0.5865,0.1619,0.1635,0.0689,0.0192
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,123,15,0.57,0.161,0.1707,0.0805,0.0177
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,123,16,0.5632,0.176,0.1584,0.0896,0.0128
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,123,17,0.5613,0.1613,0.1645,0.0968,0.0161
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,123,18,0.571,0.15,0.1629,0.0935,0.0226
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,123,19,0.5896,0.1564,0.1433,0.0814,0.0293
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,123,20,0.6098,0.1738,0.1295,0.0656,0.0213
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,123,21,0.6374,0.1623,0.1043,0.0762,0.0199
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,123,22,0.6633,0.1218,0.132,0.0761,0.0068
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,123,23,0.676,0.0876,0.1261,0.0998,0.0105
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,123,24,0.6888,0.0683,0.1205,0.1061,0.0162
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,123,25,0.7041,0.0562,0.1255,0.0787,0.0356
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,123,26,0.7486,0.0384,0.1324,0.0672,0.0134
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,123,27,0.7638,0.0059,0.1614,0.0394,0.0295
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,123,28,0.8044,0.008,0.1158,0.0539,0.018
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,123,29,0.8244,0.0103,0.0806,0.0785,0.0062
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,123,30,0.8255,0.0106,0.0681,0.0872,0.0085
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,42,1,0.6328,0.1387,0.127,0.0781,0.0234
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,42,2,0.6279,0.1546,0.1183,0.0821,0.0172
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,42,3,0.6041,0.1689,0.122,0.0769,0.0281
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,42,4,0.6058,0.1861,0.1131,0.0785,0.0164
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,42,5,0.5817,0.2136,0.1131,0.079,0.0126
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,42,6,0.5762,0.2163,0.1135,0.0727,0.0213
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,42,7,0.5729,0.2257,0.1094,0.0694,0.0226
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,42,8,0.562,0.2496,0.1053,0.0645,0.0187
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,42,9,0.56,0.2417,0.1083,0.0767,0.0133
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,42,10,0.5378,0.2385,0.1349,0.074,0.0148
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,42,11,0.5429,0.2188,0.1507,0.0681,0.0194
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,42,12,0.5494,0.1943,0.1736,0.0685,0.0143
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,42,13,0.5404,0.2013,0.1759,0.0586,0.0238
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,42,14,0.5592,0.1838,0.1869,0.0576,0.0125
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,42,15,0.5549,0.1693,0.1912,0.0705,0.0141
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,42,16,0.5571,0.1581,0.1784,0.0923,0.0141
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,42,17,0.564,0.139,0.1754,0.1058,0.0158
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,42,18,0.5689,0.1474,0.1474,0.1234,0.0128
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,42,19,0.5665,0.1544,0.1445,0.11,0.0246
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,42,20,0.5851,0.1438,0.1405,0.1008,0.0298
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,42,21,0.6362,0.1279,0.1179,0.093,0.0249
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,42,22,0.6694,0.1063,0.1163,0.0781,0.0299
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,42,23,0.7078,0.0895,0.103,0.0895,0.0101
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,42,24,0.7123,0.0745,0.1161,0.0815,0.0156
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,42,25,0.7282,0.0515,0.1243,0.071,0.0249
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,42,26,0.7445,0.0294,0.136,0.0717,0.0184
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,42,27,0.7577,0.0115,0.1385,0.0615,0.0308
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,42,28,0.7879,0.0117,0.1148,0.0778,0.0078
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,42,29,0.7959,0.0124,0.1031,0.0742,0.0144
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,42,30,0.8162,0.0128,0.0726,0.0812,0.0171
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,456,1,0.6275,0.1431,0.1275,0.0843,0.0176
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,456,2,0.6166,0.1407,0.1252,0.0983,0.0193
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,456,3,0.6181,0.1474,0.1267,0.0832,0.0246
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,456,4,0.6089,0.1753,0.1015,0.0959,0.0185
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,456,5,0.5906,0.2065,0.0978,0.087,0.0181
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,456,6,0.5765,0.226,0.1014,0.0641,0.032
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,456,7,0.5879,0.2293,0.1017,0.0707,0.0103
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,456,8,0.5495,0.256,0.0939,0.07,0.0307
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,456,9,0.5662,0.245,0.1076,0.0712,0.0099
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,456,10,0.5426,0.259,0.118,0.0705,0.0098
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,456,11,0.5325,0.2435,0.1461,0.0601,0.0179
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,456,12,0.5408,0.2192,0.1664,0.0448,0.0288
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,456,13,0.5516,0.2109,0.1734,0.0516,0.0125
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,456,14,0.5343,0.2181,0.1745,0.0639,0.0093
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,456,15,0.5364,0.1883,0.1851,0.0823,0.0079
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,456,16,0.5414,0.1752,0.1847,0.086,0.0127
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,456,17,0.5568,0.1472,0.1872,0.088,0.0208
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,456,18,0.5774,0.1356,0.1675,0.0973,0.0223
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,456,19,0.5835,0.1524,0.1524,0.0956,0.0162
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,456,20,0.5827,0.1457,0.1555,0.1031,0.0131
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,456,21,0.6073,0.1082,0.1514,0.1131,0.02
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,456,22,0.6451,0.0922,0.1485,0.087,0.0273
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,456,23,0.6885,0.0826,0.1222,0.0861,0.0207
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,456,24,0.7145,0.078,0.1117,0.0745,0.0213
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,456,25,0.7369,0.069,0.1101,0.0597,0.0243
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,456,26,0.7662,0.0323,0.1141,0.0779,0.0095
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,456,27,0.7751,0.006,0.1124,0.0743,0.0321
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,456,28,0.8134,0.0061,0.0974,0.0751,0.0081
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,456,29,0.8137,0.0086,0.0899,0.0814,0.0064
treatment_anti_CTLA4_early,anti_CTLA4_early,rules,456,30,0.8247,0.009,0.0787,0.0584,0.0292
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,123,1,0.6301,0.1546,0.1155,0.0861,0.0137
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,123,2,0.6081,0.1776,0.1062,0.083,0.0251
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,123,3,0.6139,0.1714,0.1168,0.0847,0.0132
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,123,4,0.6004,0.1784,0.1115,0.0836,0.026
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,123,5,0.641,0.1538,0.1062,0.0806,0.0183
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,123,6,0.6007,0.2032,0.1061,0.0701,0.0198
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,123,7,0.5926,0.2169,0.1129,0.0617,0.0159
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,123,8,0.5712,0.2326,0.1215,0.0521,0.0226
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,123,9,0.5857,0.2088,0.1273,0.0594,0.0187
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,123,10,0.6237,0.1753,0.1254,0.067,0.0086
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,123,11,0.5607,0.2205,0.1333,0.0769,0.0085
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,123,12,0.5637,0.2292,0.1188,0.0747,0.0136
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,123,13,0.563,0.1899,0.1563,0.0639,0.0269
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,123,14,0.5868,0.1669,0.162,0.0678,0.0165
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,123,15,0.6093,0.1269,0.1686,0.0785,0.0167
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,123,16,0.5702,0.1736,0.1554,0.0893,0.0116
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,123,17,0.5613,0.1954,0.1275,0.0993,0.0166
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,123,18,0.5702,0.1438,0.1901,0.0744,0.0215
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,123,19,0.5843,0.1486,0.1503,0.0902,0.0267
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,123,20,0.6356,0.1254,0.1305,0.0898,0.0186
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,123,21,0.6281,0.1491,0.1022,0.0955,0.0251
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,123,22,0.66,0.1541,0.0838,0.1022,0
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,123,23,0.6587,0.0995,0.1389,0.0652,0.0377
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,123,24,0.7118,0.0772,0.1012,0.0926,0.0172
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,123,25,0.7425,0.0551,0.1083,0.0639,0.0302
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,123,26,0.78,0.0447,0.102,0.0626,0.0107
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,123,27,0.789,0.0495,0.0917,0.0679,0.0018
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,123,28,0.7789,0.0235,0.1272,0.0254,0.045
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,123,29,0.8268,0.0197,0.0787,0.0669,0.0079
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,123,30,0.8431,0.0146,0.0669,0.0628,0.0126
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,42,1,0.6328,0.1387,0.127,0.0781,0.0234
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,42,2,0.6279,0.1546,0.1183,0.0821,0.0172
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,42,3,0.6041,0.1689,0.122,0.0769,0.0281
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,42,4,0.6058,0.1861,0.1131,0.0785,0.0164
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,42,5,0.6277,0.1697,0.1113,0.0785,0.0128
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,42,6,0.5874,0.2072,0.1117,0.0739,0.0198
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,42,7,0.5795,0.2191,0.1078,0.0707,0.023
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,42,8,0.5682,0.2435,0.1036,0.0656,0.019
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,42,9,0.5627,0.2407,0.1085,0.0746,0.0136
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,42,10,0.6017,0.1861,0.1252,0.0713,0.0157
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,42,11,0.5719,0.2055,0.1387,0.0651,0.0188
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,42,12,0.5765,0.2185,0.1261,0.0639,0.0151
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,42,13,0.5728,0.1904,0.1556,0.0579,0.0232
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,42,14,0.5879,0.1759,0.1661,0.0586,0.0114
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,42,15,0.6123,0.1364,0.1747,0.0632,0.0133
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,42,16,0.5871,0.1493,0.1675,0.0813,0.0149
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,42,17,0.5868,0.1702,0.1372,0.0926,0.0132
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,42,18,0.5831,0.1445,0.1744,0.0847,0.0133
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,42,19,0.576,0.1486,0.1503,0.1052,0.02
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,42,20,0.6129,0.1239,0.1375,0.0951,0.0306
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,42,21,0.6323,0.1281,0.1198,0.0948,0.025
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,42,22,0.6612,0.1339,0.0909,0.1091,0.005
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,42,23,0.6695,0.094,0.1309,0.0671,0.0386
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,42,24,0.7197,0.073,0.1128,0.0796,0.0149
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,42,25,0.7457,0.0529,0.1126,0.0666,0.0222
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,42,26,0.7569,0.0466,0.1103,0.0638,0.0224
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,42,27,0.7821,0.051,0.0914,0.0756,0
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,42,28,0.7705,0.0373,0.1157,0.0504,0.0261
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,42,29,0.7938,0.0366,0.0829,0.0713,0.0154
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,42,30,0.8189,0.0391,0.0658,0.0617,0.0144
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,456,1,0.6275,0.1431,0.1275,0.0843,0.0176
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,456,2,0.6166,0.1407,0.1252,0.0983,0.0193
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,456,3,0.6181,0.1474,0.1267,0.0832,0.0246
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,456,4,0.6089,0.1753,0.1015,0.0959,0.0185
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,456,5,0.6377,0.1645,0.0961,0.0832,0.0185
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,456,6,0.5953,0.2123,0.0998,0.0617,0.0309
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,456,7,0.6021,0.2183,0.1004,0.0704,0.0088
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,456,8,0.562,0.2443,0.096,0.0681,0.0297
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,456,9,0.5797,0.2322,0.1085,0.0695,0.0102
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,456,10,0.6014,0.2114,0.1144,0.0641,0.0087
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,456,11,0.5636,0.2234,0.1409,0.0567,0.0155
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,456,12,0.5685,0.2318,0.1303,0.044,0.0254
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,456,13,0.5745,0.1987,0.1623,0.0513,0.0132
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,456,14,0.5512,0.2063,0.17,0.0644,0.0083
treatment_anti_CTLA4_late,anti_CTLA4_late,deepseek,456,15,0.5927,0.1421,0.1768,0.0797,0.0087
