mode,seed,step,js_divergence
rules,123,24,0.1439
rules,123,25,0.1421
rules,123,26,0.1415
rules,123,27,0.1417
rules,123,28,0.1430
rules,123,29,0.1466
rules,456,0,0.1416
rules,456,1,0.1415
rules,456,2,0.1418
rules,456,3,0.1428
rules,456,4,0.1439
rules,456,5,0.1452
rules,456,6,0.1482
rules,456,7,0.1494
rules,456,8,0.1531
rules,456,9,0.1544
rules,456,10,0.1558
rules,456,11,0.1579
rules,456,12,0.1615
rules,456,13,0.1624
rules,456,14,0.1617
rules,456,15,0.1610
rules,456,16,0.1617
rules,456,17,0.1627
rules,456,18,0.1612
rules,456,19,0.1607
rules,456,20,0.1576
rules,456,21,0.1540
rules,456,22,0.1542
rules,456,23,0.1518
rules,456,24,0.1481
rules,456,25,0.1455
rules,456,26,0.1426
rules,456,27,0.1418
rules,456,28,0.1419
rules,456,29,0.1446
rules,789,0,0.1417
rules,789,1,0.1415
rules,789,2,0.1418
rules,789,3,0.1421
rules,789,4,0.1428
rules,789,5,0.1439
rules,789,6,0.1459
rules,789,7,0.1482
rules,789,8,0.1500
rules,789,9,0.1533
rules,789,10,0.1555
rules,789,11,0.1569
rules,789,12,0.1586
rules,789,13,0.1595
rules,789,14,0.1590
rules,789,15,0.1590
rules,789,16,0.1610
rules,789,17,0.1607
rules,789,18,0.1595
rules,789,19,0.1565
rules,789,20,0.1533
rules,789,21,0.1484
rules,789,22,0.1448
rules,789,23,0.1429
rules,789,24,0.1416
rules,789,25,0.1416
rules,789,26,0.1424
rules,789,27,0.1439
rules,789,28,0.1466
rules,789,29,0.1477
rules,1024,0,0.1418
rules,1024,1,0.1415
rules,1024,2,0.1416
rules,1024,3,0.1421
rules,1024,4,0.1431
rules,1024,5,0.1448
rules,1024,6,0.1459
rules,1024,7,0.1472
rules,1024,8,0.1500
rules,1024,9,0.1529
rules,1024,10,0.1542
rules,1024,11,0.1567
rules,1024,12,0.1586
rules,1024,13,0.1586
rules,1024,14,0.1595
rules,1024,15,0.1619
rules,1024,16,0.1634
rules,1024,17,0.1642
rules,1024,18,0.1647
rules,1024,19,0.1624
rules,1024,20,0.1612
rules,1024,21,0.1581
rules,1024,22,0.1542
rules,1024,23,0.1522
rules,1024,24,0.1496
rules,1024,25,0.1455
rules,1024,26,0.1422
rules,1024,27,0.1416
rules,1024,28,0.1422
rules,1024,29,0.1446
random,42,0,0.1425
random,42,1,0.1421
random,42,2,0.1420
random,42,3,0.1412
random,42,4,0.1397
random,42,5,0.1371
random,42,6,0.1345
random,42,7,0.1319
random,42,8,0.1314
random,42,9,0.1336
random,42,10,0.1386
random,42,11,0.1443
random,42,12,0.1584
random,42,13,0.1666
random,42,14,0.1812
random,42,15,0.1955
random,42,16,0.2186
random,42,17,0.2420
random,42,18,0.2301
random,42,19,0.2276
random,42,20,0.2260
random,42,21,0.2333
random,42,22,0.2385
random,42,23,0.2445
random,42,24,0.2454
random,42,25,0.2584
random,42,26,0.2661
random,42,27,0.2681
random,42,28,0.2785
random,42,29,0.2801
random,123,0,0.1421
random,123,1,0.1426
