mode,seed,step,shannon_index
random,1024,18,1.4412
random,1024,19,1.4678
random,1024,20,1.4586
random,1024,21,1.4557
random,1024,22,1.4284
random,1024,23,1.4176
random,1024,24,1.4127
random,1024,25,1.3934
random,1024,26,1.3637
random,1024,27,1.3225
random,1024,28,1.3203
random,1024,29,1.2916
