mode,seed,step,Tumor,CD8_T,Macrophage,NK,Treg,B_cell
random,456,5,208,106,80,40,30,30
random,456,6,211,94,80,40,30,30
random,456,7,211,87,80,40,30,30
random,456,8,220,71,80,40,30,30
random,456,9,215,62,80,40,30,30
random,456,10,213,55,80,40,30,30
random,456,11,219,48,80,40,30,30
random,456,12,227,39,80,40,29,30
random,456,13,229,34,80,40,29,30
random,456,14,229,22,79,40,29,30
random,456,15,227,16,79,40,29,29
random,456,16,231,9,79,40,29,29
random,456,17,238,6,79,40,28,28
random,456,18,240,3,79,40,28,36
random,456,19,238,4,79,40,28,44
random,456,20,237,6,78,40,28,44
random,456,21,238,6,78,39,28,49
random,456,22,245,5,78,39,28,48
random,456,23,244,4,77,39,28,48
random,456,24,246,4,77,39,28,47
random,456,25,252,2,77,37,27,46
random,456,26,255,2,76,37,26,45
random,456,27,261,1,76,37,26,44
random,456,28,256,1,76,35,26,43
random,456,29,260,0,76,35,26,43
random,789,0,202,120,80,40,30,30
random,789,1,203,120,80,40,30,30
random,789,2,199,118,80,40,30,30
random,789,3,198,117,80,40,30,30
random,789,4,192,112,80,40,30,30
random,789,5,193,108,80,40,30,30
random,789,6,199,96,80,40,30,30
random,789,7,196,86,80,40,30,30
random,789,8,189,82,80,40,30,30
random,789,9,192,72,80,40,30,30
random,789,10,192,68,80,40,30,30
random,789,11,192,61,80,40,30,30
random,789,12,193,56,80,40,30,30
random,789,13,198,46,80,40,30,30
random,789,14,198,42,80,40,30,30
random,789,15,201,37,80,40,30,30
random,789,16,207,35,80,40,30,30
random,789,17,209,33,80,40,30,30
random,789,18,209,31,80,39,30,39
random,789,19,207,33,79,39,29,44
random,789,20,206,27,79,39,29,48
random,789,21,208,26,79,39,29,49
random,789,22,214,27,79,39,29,49
random,789,23,210,23,78,39,29,48
random,789,24,218,21,78,39,29,50
random,789,25,219,17,78,39,29,50
random,789,26,217,15,76,39,28,51
random,789,27,220,12,76,39,28,50
random,789,28,222,9,76,39,27,46
random,789,29,224,6,74,38,26,44
random,1024,0,196,120,80,40,30,30
random,1024,1,196,120,80,40,30,30
random,1024,2,188,120,80,40,30,30
random,1024,3,187,118,80,40,30,30
random,1024,4,179,112,80,40,30,30
random,1024,5,179,107,80,40,30,30
random,1024,6,176,101,80,40,30,30
random,1024,7,176,94,80,40,30,30
random,1024,8,179,86,80,40,30,30
random,1024,9,183,73,80,40,30,30
random,1024,10,184,62,80,40,30,30
random,1024,11,184,48,80,40,30,30
random,1024,12,185,39,80,40,30,30
random,1024,13,186,29,80,40,30,30
random,1024,14,184,28,80,40,30,30
random,1024,15,194,26,80,40,30,30
random,1024,16,196,19,80,40,30,29
random,1024,17,200,17,80,40,30,29
random,1024,18,201,19,80,40,28,36
random,1024,19,200,23,80,39,27,43
random,1024,20,200,19,80,39,27,46
random,1024,21,199,17,80,39,27,48
random,1024,22,201,12,79,39,27,48
random,1024,23,201,10,79,39,27,48
random,1024,24,199,8,79,39,27,50
random,1024,25,204,7,78,39,27,48
random,1024,26,208,5,77,39,27,44
random,1024,27,215,2,76,38,27,44
random,1024,28,216,2,76,37,27,45
random,1024,29,224,1,75,37,26,45
